n;10;100;1000;10000;100000;1000000
TriRapide;0.0025;0.0234;0.3428;3.7419;45.9293;503.294
TriParBase 1 bit;0.0318;0.2146;2.0109;19.4067;207.851;1871.61
TriParBase 2 bits;0.0144;0.1093;1.0997;11.6596;94.173;877.721
TriParBase 4 bits;0.0086;0.0568;0.5895;5.5744;48.3982;458.822
TriParBase 8 bits;0.0113;0.0286;0.3406;3.1461;22.3459;226.445
TriParBase 16 bits;0.7043;0.7143;1.0425;2.4549;12.7306;121.551
